,installer_id,Year_month,quotes_count,winning_quotes_count
770,6507,201309,3,
771,6507,201310,4,
772,6507,201311,4,
773,6507,201312,3,1
774,6507,201401,3,
775,6507,201402,2,
776,6507,201403,4,
777,6507,201404,2,
778,6507,201405,3,
779,6507,201407,7,
780,6507,201408,8,
781,6507,201410,2,
782,6507,201411,15,
783,6507,201412,13,1
784,6507,201501,10,1
785,6507,201502,9,
786,6507,201503,15,1
787,6507,201504,9,2
788,6507,201505,17,
789,6507,201506,21,2
790,6507,201507,22,3
791,6507,201508,9,2
792,6507,201509,3,
793,6507,201510,3,
794,6507,201511,6,
795,6507,201512,3,1
796,6507,201601,6,1
797,6507,201602,3,
798,6507,201603,10,1
799,6507,201604,12,
800,6507,201605,15,1
801,6507,201606,20,
802,6507,201607,22,2
803,6507,201608,26,
804,6507,201609,18,2
805,6507,201610,9,2
806,6507,201611,14,
807,6507,201612,18,1
808,6507,201701,10,
809,6507,201702,12,
810,6507,201703,5,2
811,6507,201704,5,1
812,6507,201705,5,
813,6507,201706,3,1
814,6507,201708,1,
815,6515,201401,3,
816,6515,201402,4,
817,6515,201403,4,
818,6515,201404,5,
819,6515,201405,2,
820,6515,201406,4,
821,6515,201407,3,
822,6515,201409,2,1
823,6515,201410,1,1
824,6515,201411,1,
825,6515,201412,1,1
826,6515,201501,2,
827,6515,201502,5,1
828,6515,201509,9,
829,6515,201510,10,
830,6515,201511,3,
831,6515,201512,3,
832,6515,201601,2,
833,6515,201602,4,
834,6515,201603,5,
835,6515,201605,2,
836,6515,201606,2,
837,6515,201609,1,
838,6515,201610,1,
839,6515,201611,1,
840,6515,201612,2,
841,6515,201701,1,
842,6515,201702,2,
843,6515,201705,1,
844,6515,201706,6,
845,6515,201707,1,
846,6515,201709,2,
847,6515,201711,1,
848,6515,201712,2,
849,6515,201802,2,
850,6515,201804,1,
851,6519,201302,6,
852,6519,201303,1,
853,6519,201304,1,
854,6519,201305,1,
855,6519,201307,1,
856,6519,201308,2,1
857,6519,201310,3,
858,6519,201311,3,
859,6519,201401,2,
860,6519,201402,1,
861,6519,201403,2,
862,6519,201405,1,
863,6519,201408,1,
864,6519,201409,8,
865,6519,201410,14,1
866,6519,201411,4,
867,6519,201503,3,
868,6519,201505,1,
869,6519,201509,1,1
870,6519,201608,1,
871,6519,201610,14,
872,6519,201701,1,
873,6519,201702,6,
874,6519,201708,1,
875,6519,201710,6,
876,6519,201711,41,
877,6519,201712,18,
878,6520,201302,4,
879,6520,201303,2,
880,6520,201401,1,
881,6520,201503,3,
882,6520,201504,2,
883,6520,201505,3,
884,6520,201506,1,
885,6520,201507,2,
886,6520,201509,5,
887,6520,201510,2,
888,6520,201512,3,
889,6520,201601,8,1
890,6520,201602,5,
891,6520,201603,4,
892,6520,201604,5,1
893,6520,201605,2,1
894,6520,201606,12,
895,6520,201607,22,
896,6520,201608,14,2
897,6520,201609,10,
898,6520,201610,4,
899,6520,201611,6,
900,6520,201612,3,
901,6520,201701,3,
902,6520,201702,5,
903,6520,201703,5,
904,6520,201704,2,
905,6520,201706,6,2
906,6520,201707,11,
907,6520,201708,9,1
908,6520,201709,15,1
909,6520,201710,12,
910,6520,201711,6,
911,6520,201712,7,
912,6520,201801,25,1
913,6520,201802,17,1
914,6520,201803,31,2
915,6520,201804,8,
916,6521,201303,1,
917,6521,201307,1,
918,6521,201410,1,
919,6521,201501,3,
920,6521,201502,2,
921,6521,201503,1,
922,6521,201505,6,
923,6521,201507,1,
924,6521,201510,7,
925,6521,201511,8,
926,6521,201512,9,1
927,6521,201601,5,1
928,6521,201602,9,1
929,6521,201603,10,
930,6521,201604,5,
931,6521,201605,1,1
932,6521,201606,3,
933,6521,201607,13,
934,6521,201704,6,
935,6521,201705,7,
936,20003,201211,10,
937,20003,201701,1,
938,20009,201302,1,
939,20009,201401,1,
940,20010,201311,1,
941,20015,201409,1,
942,20015,201410,7,
943,20015,201411,2,1
944,20015,201412,1,
945,20015,201502,3,
946,20015,201503,3,
947,20015,201509,2,1
948,20015,201510,2,
949,20015,201511,1,
950,20015,201601,1,
951,20015,201603,6,
952,20015,201604,3,
953,20015,201605,2,
954,20015,201606,2,
955,20015,201607,10,
956,20015,201608,7,
957,20015,201609,3,
958,20015,201610,5,
959,20015,201611,1,
960,20015,201612,1,
961,20015,201701,3,
962,20015,201702,2,
963,20015,201704,1,
964,20015,201706,3,
965,20015,201709,2,
966,20015,201710,1,
967,20015,201711,1,
968,20015,201712,2,
969,20015,201801,2,
970,20015,201802,12,
971,20015,201803,7,
972,20015,201804,2,
973,20021,201403,2,1
974,20021,201404,1,
975,20021,201405,5,
976,20021,201406,2,
977,20021,201407,6,
978,20021,201408,9,
979,20021,201409,3,
980,20021,201410,1,
981,20021,201411,2,
982,20021,201412,7,
983,20021,201501,14,
984,20021,201502,9,
985,20021,201503,14,1
986,20021,201504,11,
987,20021,201505,6,1
988,20021,201506,16,2
989,20021,201507,14,
990,20021,201508,29,
991,20021,201509,17,1
992,20021,201510,12,1
993,20021,201511,6,1
994,20021,201512,3,1
995,20021,201601,2,
996,20021,201602,9,
997,20021,201603,19,1
998,20021,201604,12,
999,20021,201605,18,1
1000,20021,201606,45,
1001,20021,201607,71,
1002,20021,201608,3,
1003,20021,201610,4,
1004,20021,201611,5,
1005,20021,201612,3,
1006,20021,201701,7,
1007,20021,201702,3,
1008,20021,201703,1,
1009,20021,201704,1,
1010,20021,201705,1,
1011,20021,201710,49,
1012,20021,201711,22,2
1013,20021,201712,59,4
1014,20021,201801,106,10
1015,20021,201802,113,7
1016,20021,201803,107,10
1017,20021,201804,22,2
1018,20030,201308,10,
1019,20030,201309,6,
1020,20030,201310,7,
1021,20030,201311,3,
1022,20030,201406,1,
1023,20030,201407,1,
1024,20030,201409,19,
1025,20030,201410,1,
1026,20030,201411,1,
1027,20030,201412,1,
1028,20030,201501,13,
1029,20030,201502,16,1
1030,20030,201503,21,1
1031,20030,201504,33,3
1032,20030,201505,37,1
1033,20030,201506,50,1
1034,20030,201507,60,3
1035,20030,201508,20,1
1036,20030,201509,70,3
1037,20030,201510,53,1
1038,20030,201511,6,
1039,20030,201512,36,2
1040,20030,201601,60,2
1041,20030,201602,17,1
1042,20030,201603,110,1
1043,20030,201604,81,3
1044,20030,201605,82,4
1045,20030,201606,148,1
1046,20030,201607,235,1
1047,20030,201608,329,6
1048,20030,201609,199,2
1049,20030,201610,119,2
1050,20030,201611,183,1
1051,20030,201612,152,2
1052,20030,201701,234,1
1053,20030,201702,225,
1054,20030,201703,333,4
1055,20030,201704,440,2
1056,20030,201705,589,4
1057,20030,201706,1417,2
1058,20030,201707,522,3
1059,20030,201708,611,5
1060,20030,201709,626,7
1061,20030,201710,589,4
1062,20030,201711,417,3
1063,20030,201712,383,6
1064,20030,201801,747,1
1065,20030,201802,682,6
1066,20030,201803,762,10
1067,20030,201804,257,1
1068,20033,201307,1,
1069,20033,201310,1,
1070,20033,201311,1,
1071,20033,201403,2,
1072,20033,201405,1,
1073,20033,201406,15,
1074,20033,201407,2,1
1075,20033,201412,29,
1076,20033,201501,9,
1077,20033,201502,5,
1078,20033,201503,1,
1079,20033,201504,5,
1080,20033,201505,2,
1081,20033,201506,6,
1082,20033,201603,1,
1083,20033,201607,15,
1084,20033,201608,1,
1085,20041,201308,2,
1086,20041,201408,1,
1087,20041,201501,1,
1088,20041,201506,1,
1089,20045,201412,2,
1090,20045,201502,1,
1091,20045,201503,2,1
1092,20045,201509,1,
1093,20045,201701,1,
1094,20045,201706,34,
1095,20045,201707,60,
1096,20045,201708,36,
1097,20045,201709,7,1
1098,20045,201710,1,2
1099,20046,201308,1,
1100,20046,201311,1,
1101,20046,201403,1,
1102,20046,201501,1,
1103,20046,201502,4,1
1104,20046,201504,1,
1105,20046,201507,1,1
1106,20046,201510,1,1
1107,20046,201511,1,1
1108,20046,201601,1,
1109,20046,201602,3,
1110,20046,201603,5,
1111,20046,201604,8,
1112,20046,201605,4,
1113,20046,201606,4,
1114,20046,201607,16,1
1115,20046,201608,41,1
1116,20046,201609,20,
1117,20046,201610,16,
1118,20046,201611,18,
1119,20046,201612,13,
1120,20046,201701,19,1
1121,20046,201702,12,
1122,20046,201703,9,
1123,20046,201704,15,
1124,20046,201705,16,
1125,20046,201706,15,
1126,20046,201707,23,
1127,20046,201708,18,1
1128,20046,201709,30,1
1129,20046,201710,17,
1130,20046,201711,27,1
1131,20046,201712,9,1
1132,20046,201801,28,1
1133,20046,201802,28,
1134,20046,201803,28,
1135,20046,201804,16,
1136,20048,201508,11,
1137,20048,201510,1,
1138,20048,201512,1,
1139,20048,201607,12,
1140,20048,201707,29,
1141,20048,201708,19,
1142,20048,201712,1,
1143,20048,201801,20,
1144,20048,201802,19,
1145,20048,201803,17,
1146,20048,201804,1,
1147,20049,201708,17,
1148,20049,201709,35,1
1149,20049,201710,34,2
1150,20049,201711,32,
1151,20049,201712,26,4
1152,20049,201801,34,1
1153,20049,201802,45,
1154,20049,201803,45,2
1155,20049,201804,3,1
1156,20054,201302,1,
1157,20054,201303,5,
1158,20054,201304,1,
1159,20054,201305,1,
1160,20054,201311,1,
1161,20054,201312,3,
1162,20054,201401,1,
1163,20054,201402,1,
1164,20054,201403,4,1
1165,20054,201404,2,
1166,20054,201405,4,
1167,20054,201406,1,
1168,20054,201407,11,
1169,20054,201408,6,
1170,20054,201409,4,
1171,20054,201410,10,
1172,20054,201411,6,1
1173,20054,201412,6,1
1174,20054,201501,15,2
1175,20054,201502,9,4
1176,20054,201503,12,4
1177,20054,201504,9,2
1178,20054,201505,12,
1179,20054,201506,14,2
1180,20054,201507,19,1
1181,20054,201508,5,1
1182,20054,201509,17,5
1183,20054,201510,21,2
1184,20054,201511,15,
1185,20054,201512,18,4
1186,20054,201601,22,3
1187,20054,201602,31,2
1188,20054,201603,35,1
1189,20054,201604,41,
1190,20054,201605,46,2
1191,20054,201606,82,2
1192,20054,201607,126,6
1193,20054,201608,92,5
1194,20054,201609,80,7
1195,20054,201610,94,5
1196,20054,201611,92,
1197,20054,201612,83,4
1198,20054,201701,91,3
1199,20054,201702,77,3
1200,20054,201703,113,5
1201,20054,201704,95,4
1202,20054,201705,109,6
1203,20054,201706,77,6
1204,20054,201707,72,2
1205,20054,201708,116,7
1206,20054,201709,90,5
1207,20054,201710,117,4
1208,20054,201711,106,8
1209,20054,201712,103,9
1210,20054,201801,192,3
1211,20054,201802,133,2
1212,20054,201803,172,8
1213,20054,201804,37,2
1214,20087,201402,1,
1215,20087,201403,1,
1216,20087,201501,2,
1217,20087,201502,1,
1218,20087,201506,1,
1219,20087,201511,1,
1220,20087,201512,3,
1221,20087,201605,2,
1222,20087,201608,8,
1223,20087,201609,1,
1224,20087,201610,7,
1225,20087,201611,5,
