,index,text_d_mkt_mean,text_d_mkt_std,text_d_mkt_min,text_d_mkt_p25,text_d_mkt_p50,text_d_mkt_p75,text_d_mkt_max
135,141,0.14278472024902158,0.077513275772379,0.031528830528259284,0.09359711408615112,0.12164139747619628,0.16318458318710327,0.43170303106307983
136,142,0.1434850111240294,0.07510840538546668,0.031528830528259284,0.09495872259140016,0.12506508827209473,0.16619807481765747,0.43170303106307983
137,143,0.14347156212311382,0.07409972852565873,0.031528830528259284,0.09652471542358398,0.12527209520339966,0.1644599735736847,0.43170303106307983
138,144,0.1452196441220899,0.07476852350286127,0.031528830528259284,0.09573215246200564,0.1263163983821869,0.17109911143779755,0.4900525212287903
139,145,0.14864799908229284,0.07802475066471189,0.031528830528259284,0.09545749425888064,0.1274910569190979,0.17885857820510864,0.4900525212287903
140,146,0.15172722550391485,0.07750699513425778,0.031528830528259284,0.09968063235282898,0.13035011291503906,0.18373951315879822,0.4900525212287903
141,147,0.1507708384533121,0.07685190665681604,0.031528830528259284,0.09953641891479492,0.12899726629257202,0.1820505261421204,0.4900525212287903
142,148,0.14635004524106543,0.07504381920224198,0.031528830528259284,0.09580957889556883,0.1257731318473816,0.17381852865219116,0.4900525212287903
143,149,0.1446759206090797,0.07467593399585021,0.031528830528259284,0.09410113096237184,0.12451398372650145,0.17190545797348022,0.4900525212287903
144,150,0.1843495283808027,0.04709058367579856,0.10650277137756348,0.15335673093795776,0.17769962549209595,0.22437894344329834,0.2585115432739258
145,151,0.17408753080027445,0.05293846432348181,0.0703897476196289,0.13191711902618408,0.17580828070640564,0.21970541775226596,0.2585115432739258
146,152,0.16833372910817465,0.0523059620348185,0.0703897476196289,0.1256184428930283,0.1633797585964203,0.20939642190933228,0.2585115432739258
147,153,0.15981392330593533,0.05411939733113159,0.06172484159469605,0.11811619997024535,0.15335673093795776,0.20240318775177,0.2585115432739258
148,154,0.13942354255252415,0.0475418228499646,0.06172484159469605,0.10384029150009155,0.13005465269088745,0.1758575141429901,0.2585115432739258
149,155,0.13512927009945824,0.04624131424759526,0.06172484159469605,0.10089606046676636,0.12504297494888306,0.16549992561340332,0.2585115432739258
150,156,0.14428166721178137,0.053870385771593754,0.06172484159469605,0.10371989011764526,0.13037556409835815,0.18103837966918945,0.3030930757522583
151,158,0.3658786416053772,,0.3658786416053772,0.3658786416053772,0.3658786416053772,0.3658786416053772,0.3658786416053772
152,159,0.281702717145284,0.15196780746415953,0.10627299547195436,0.23607581853866577,0.3658786416053772,0.36941757798194885,0.3729565143585205
153,160,0.2006935954093933,0.1368445444693923,0.06711596250534058,0.0937981903553009,0.12768816947937012,0.36641985177993774,0.4181668758392334
154,161,0.08063451647758484,0.018996451205933282,0.0515439510345459,0.06502838432788849,0.08575287461280823,0.08950699865818024,0.10456156730651857
155,163,0.10696470737457277,,0.10696470737457277,0.10696470737457277,0.10696470737457277,0.10696470737457277,0.10696470737457277
156,164,0.08920431137084961,0.0203734923567781,0.06103867292404175,0.07484143972396852,0.09331196546554565,0.10675978660583497,0.10763627290725708
157,165,0.15509080035345896,0.060789482279184924,0.06077384948730469,0.10753905773162843,0.14079594612121582,0.208311140537262,0.2995823621749878
158,166,0.15970279344546248,0.07014001021688357,0.06077384948730469,0.1047893762588501,0.1420409083366394,0.21180355548858645,0.3980938196182251
159,167,0.1523695014771961,0.06638266464596741,0.04968082904815674,0.10040304064750671,0.13531556725502014,0.20763006806373602,0.3980938196182251
160,168,0.14987123889840526,0.06526193941667373,0.04968082904815674,0.0988960862159729,0.13352453708648682,0.20209640264511106,0.3980938196182251
161,169,0.14880413523775787,0.06360553668243053,0.04968082904815674,0.10079777240753174,0.13145041465759275,0.20031094551086426,0.3980938196182251
162,170,0.14406966666380563,0.062398708568195134,0.04968082904815674,0.09668326377868652,0.12601825594902039,0.19302730262279505,0.3980938196182251
163,171,0.14256455704697177,0.060953465110122985,0.03158122301101685,0.09736678004264832,0.12610149383544922,0.18348586559295654,0.3980938196182251
164,172,0.14157828452095153,0.05974736576117695,0.03158122301101685,0.09871703386306764,0.12409251928329468,0.17581775784492493,0.3980938196182251
165,173,0.13726417031781427,0.05998044387920999,0.03158122301101685,0.09519952535629272,0.1200914978981018,0.1706792414188385,0.3980938196182251
166,174,0.13974442738358692,0.05993626532702075,0.03158122301101685,0.09694504737854004,0.1233741044998169,0.17300575971603396,0.3980938196182251
167,175,0.13988391174511475,0.0586729661771361,0.03158122301101685,0.09706994891166687,0.12622001767158508,0.17249256372451782,0.3980938196182251
168,177,0.08242630958557129,,0.08242630958557129,0.08242630958557129,0.08242630958557129,0.08242630958557129,0.08242630958557129
169,178,0.08891519904136658,0.012123094201815761,0.07126116752624513,0.08340531587600708,0.08762043714523315,0.09673979878425598,0.10520929098129272
170,179,0.09134074449539184,0.01269959137157302,0.07126116752624513,0.08340531587600708,0.09108433127403259,0.10041798651218413,0.11001867055892944
171,180,0.10371359757014684,0.023529136897734306,0.06476342678070067,0.08825948834419252,0.10113206505775449,0.12540262937545776,0.16327577829360962
172,181,0.10533612800969018,0.022913383481113766,0.06476342678070067,0.08890184760093688,0.10200136899948119,0.12465877830982207,0.16327577829360962
173,182,0.13885866511951794,0.07367835672043334,0.06476342678070067,0.09323248267173766,0.1099092960357666,0.145361065864563,0.3397361636161804
174,183,0.13413824102817437,0.07233693239204492,0.06476342678070067,0.08873559534549713,0.1065663993358612,0.1414138823747635,0.3397361636161804
175,184,0.13856247418067036,0.07245254744218954,0.055331945419311516,0.09118998050689697,0.1065663993358612,0.14916843175888062,0.3397361636161804
176,185,0.1384116846915574,0.06967037776785108,0.055331945419311516,0.09343653917312622,0.11279511451721193,0.14707720279693604,0.3778122067451477
177,186,0.0950449141589078,0.03244095466845904,0.041768133640289314,0.06475597620010376,0.09332460165023804,0.1213027834892273,0.1492478847503662
178,187,0.13639312917059596,0.07554785401858768,0.041768133640289314,0.08304014801979065,0.12257885932922365,0.15139925479888916,0.4052336215972901
179,188,0.1415761601357233,0.07557236944872606,0.041768133640289314,0.09295809268951416,0.12768340110778809,0.16611313819885254,0.4052336215972901
180,189,0.10912811756134033,0.047307267603293617,0.05450624227523804,0.09519174695014955,0.13587725162506106,0.13643905520439148,0.13700085878372192
181,190,0.11246240536371867,0.030622143517520566,0.05450624227523804,0.09805354475975037,0.12428998947143555,0.13643905520439148,0.1417941451072693
182,191,0.11283360492615473,0.029069575333528143,0.05450624227523804,0.09649860858917236,0.12428998947143555,0.13587725162506106,0.1525917649269104
183,192,0.11688636243343353,0.026635803248982803,0.05450624227523804,0.09926025569438934,0.12678778171539307,0.13615815341472629,0.1525917649269104
184,194,0.10128253698349,,0.10128253698349,0.10128253698349,0.10128253698349,0.10128253698349,0.10128253698349
185,195,0.1556833585103353,0.04833062755548178,0.10128253698349,0.1366918981075287,0.17210125923156738,0.18288376927375793,0.1936662793159485
186,196,0.12694185376167297,0.039878320647179964,0.08296424150466919,0.09968715906143187,0.10265100002288818,0.16273996233940125,0.1936662793159485
187,197,0.12062795162200927,0.036943966299277146,0.06698822975158691,0.09742748737335205,0.10401946306228638,0.14690634608268738,0.1936662793159485
188,198,0.16863755385080972,0.08397671572991443,0.06698822975158691,0.10043209791183473,0.139146089553833,0.27359169721603394,0.3023062348365784
189,199,0.14644646810160744,0.08045524126128956,0.057881593704223626,0.08622656762599945,0.10798761248588562,0.18322730064392087,0.3023062348365784
190,200,0.13793694539503618,0.07419538790882817,0.054996848106384284,0.0847373902797699,0.10748839378356934,0.17592445015907288,0.3023062348365784
191,201,0.12526701575233823,0.06872470453127175,0.040737271308898926,0.08268702030181885,0.10043209791183473,0.14164209365844727,0.3076726198196411
192,202,0.125732417930575,0.0661516041363101,0.040737271308898926,0.08388826251029968,0.10601150989532471,0.14171724021434784,0.3076726198196411
193,203,0.12332119023989117,0.05257905644107464,0.037320315837860114,0.09085336327552795,0.11133116483688354,0.13848605751991272,0.3076726198196411
194,204,0.12623162829094658,0.0552038122182454,0.030704140663146976,0.08887827396392822,0.1115727424621582,0.1463385820388794,0.3111491799354553
195,205,0.1336121201028629,0.06418025970987097,0.030704140663146976,0.09134018421173096,0.11554497480392455,0.15243512392044067,0.3668953776359558
196,206,0.13401760184645697,0.05690286710054879,0.02616095542907715,0.09600931406021118,0.12089729309082033,0.15688729286193848,0.3668953776359558
197,207,0.13742289309516365,0.06356597190551727,0.02616095542907715,0.09536297619342803,0.12101021409034729,0.16209255158901215,0.4204602837562561
198,208,0.13739349275434148,0.06306748714804826,0.02616095542907715,0.0955059230327606,0.12142360210418701,0.1617705523967743,0.4204602837562561
199,209,0.13852884614167094,0.06311896761599087,0.02616095542907715,0.09606978297233582,0.12270411849021913,0.16535240411758423,0.4204602837562561
200,210,0.13716484627291176,0.06119881800387491,0.02616095542907715,0.09635555744171144,0.12203449010849,0.16048163175582886,0.4204602837562561
201,211,0.13575086419566817,0.06091489466733506,0.02616095542907715,0.09552222490310668,0.12119567394256593,0.15861362218856812,0.4204602837562561
202,212,0.13627360903844696,0.06119260120755357,0.02616095542907715,0.09517523646354675,0.12175965309143065,0.16107988357543945,0.4204602837562561
203,213,0.13329868834172592,0.05979159479177317,0.02616095542907715,0.09356258809566499,0.11943817138671875,0.15624114871025085,0.4204602837562561
204,214,0.13064965602069153,0.058868806482271635,0.02616095542907715,0.09144495427608489,0.11720472574234009,0.15356501936912537,0.4204602837562561
205,215,0.13243122574047256,0.05823341509263292,0.02616095542907715,0.09328147768974304,0.12002646923065186,0.1568080186843872,0.4204602837562561
206,216,0.13314425935282087,0.05994717995220727,0.022150397300720208,0.09275788068771362,0.11970871686935425,0.15819180011749268,0.4204602837562561
207,217,0.13316869664256553,0.059425333266360056,0.022150397300720208,0.09272593259811401,0.11994844675064087,0.1595095992088318,0.4204602837562561
208,218,0.1351621142889587,0.058921395927653976,0.022150397300720208,0.09472167491912843,0.12239307165145875,0.16205257177352905,0.4204602837562561
209,219,0.13456479881576558,0.058331622341230425,0.01655477285385132,0.0946856588125229,0.12245911359786987,0.1612161099910736,0.4204602837562561
